Pitch,Roll,Yaw,Surge,Sway,Heave
6.347176071285195e-25,4.90050719516171e-24,7.170696503804928e-26,4.6057147128098413e-20,5.99124608089602e-21,5.548087267396619e-18
3.5728786812742437e-25,3.287687079457787e-24,4.879240313431691e-26,3.0018375573460693e-20,4.07317823272339e-21,3.294932582365562e-18
1.5555460085888704e-25,2.088993955255463e-24,3.1717070696118703e-26,1.8155231077545714e-20,2.6441198089211813e-21,1.648127340379194e-18
9.553436388530612e-27,1.1980663336149849e-24,1.898648909950834e-26,9.38855332626087e-21,1.578887053987266e-21,4.486808522634373e-19
8.424303469235251e-27,8.172647763094888e-25,1.3037936687703857e-26,6.7281540059349714e-21,1.0739622210053844e-21,3.171521656780942e-19
7.456922562437507e-27,5.269699224533481e-25,8.498381162775513e-27,4.681968519151613e-21,6.892171823728381e-22,2.1626496548433583e-19
6.624309102457433e-27,3.0577825439561924e-25,5.0351247293594985e-27,3.1066565395316764e-21,3.96212968491027e-22,1.3883845663476448e-19
5.904579518735119e-27,1.3758702183603604e-25,2.3977935671861286e-27,1.894108728826183e-21,1.7355632302066526e-22,7.946103829011418e-20
5.2798801150622345e-27,1.0203265084704576e-26,3.9674725176882247e-28,9.622471462116448e-22,5.0504021714545094e-24,3.402760271886134e-20
3.7356599298331066e-27,8.825338110436008e-27,3.008184641483832e-28,6.755698270035806e-22,4.740899736181554e-24,2.6446741537537816e-20
2.515762363080058e-27,7.662877807839184e-27,2.2411143344854122e-28,4.493429738959342e-22,4.4426591436285544e-24,2.0348897403730748e-20
1.5526533140298803e-27,6.677768141264226e-27,1.627081045683152e-28,2.709568614308433e-22,4.158242607179053e-24,1.5435226025358503e-20
7.935405555842986e-28,5.839385540169836e-27,1.1353532282768605e-28,1.3055701782232687e-22,3.88905130040366e-24,1.147089511648739e-20
1.9695668022565993e-28,5.122985136019654e-27,7.417053150522081e-29,2.0405176598874154e-23,3.635683838962613e-24,8.270428386102455e-21
7.117147736834939e-28,3.700125980167834e-27,5.345536266022631e-29,2.4392052536846184e-23,3.0693333365688784e-24,5.981030342069097e-21
1.1075324858675547e-27,2.546241056819751e-27,3.666051418587482e-29,2.725853170912591e-23,2.5932005030999595e-24,4.1241252372702214e-21
1.4083069230378474e-27,1.6112013737604073e-27,2.3055002657390144e-29,2.924275388508863e-23,2.1918185462852823e-24,2.619132126339374e-21
1.633079092698664e-27,8.546704041542139e-28,1.2050676817322243e-29,3.053315364831295e-23,1.8525957186631094e-24,1.4012086579874938e-21
1.7970673700680597e-27,2.440701892287726e-28,3.172546281213025e-30,3.1279205525159016e-23,1.565237523029821e-24,4.179824985117737e-22
1.3088052893184161e-27,3.3883477667885017e-28,4.393553042948696e-30,2.36637400816882e-23,1.3319369757976448e-24,3.036062692748263e-22
9.048437031746177e-28,4.122044195803965e-28,5.338657876177914e-30,1.7335521967986422e-23,1.1329178784019928e-24,2.0900290677305974e-22
5.709382534119283e-28,4.681506123142614e-28,6.0590885971824536e-30,1.207899710613296e-23,9.62812367930978e-25,1.3082957195686544e-22
2.9536490219825306e-28,5.09907482768297e-28,6.596560691353964e-30,7.716560322393967e-24,8.171610207099012e-25,6.633506428879317e-23
6.844547742000793e-29,5.4011473232280785e-28,6.98512142618774e-30,4.101434039222181e-24,6.922467585524401e-25,1.3248423988051002e-23
